Ref,Val,Package,PosX,PosY,Rot,Side
"J10","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",161.100000,-79.600000,0.000000,bottom
"J11","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",152.400000,-79.600000,0.000000,bottom
"PowerRegulator1","~","PinHeader_2x06_P2.54mm_Vertical",203.940000,-81.600000,90.000000,bottom
"C1","0.1uF","C_0603_1608Metric",195.196500,-72.471400,0.000000,top
"C2","0.1uF","C_0603_1608Metric",125.300000,-51.750000,-90.000000,top
"C3","0.1uF","C_0603_1608Metric",131.800000,-51.525000,90.000000,top
"C4","0.1uF","C_0603_1608Metric",125.500000,-59.225000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",132.000000,-59.275000,90.000000,top
"C5IN1","0.33uF","C_0603_1608Metric",200.746500,-74.400000,180.000000,top
"C6","0.1uF","C_0603_1608Metric",125.400000,-66.375000,-90.000000,top
"C7","0.1uF","C_0603_1608Metric",132.400000,-66.425000,90.000000,top
"C8","0.1uF","C_0603_1608Metric",135.090000,-47.000000,180.000000,top
"C9","0.1uF","C_0603_1608Metric",194.200000,-42.725000,-90.000000,top
"C10","0.1uF","C_0603_1608Metric",184.300000,-42.775000,-90.000000,top
"C11","0.1uF","C_0603_1608Metric",154.900000,-43.300300,-90.000000,top
"C12","0.1uF","C_0603_1608Metric",144.800000,-42.400000,-90.000000,top
"C13","0.1uF","C_0603_1608Metric",134.600000,-43.275000,-90.000000,top
"C14","0.1uF","C_0603_1608Metric",174.400000,-42.725000,-90.000000,top
"C15","0.1uF","C_0603_1608Metric",164.400000,-42.725000,-90.000000,top
"DRV8256P1","~","pololu drv8256p",129.140000,-76.000000,90.000000,top
"DRV8256P2","~","pololu drv8256p",162.540000,-75.800000,90.000000,top
"Fuse1","12amps","Fuse_1206_3216Metric",204.527100,-61.695100,90.000000,top
"J1","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",199.060000,-37.000000,0.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",207.200000,-49.150000,90.000000,top
"J3","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",189.200000,-37.000000,0.000000,top
"J4","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",179.300000,-37.000000,0.000000,top
"J5","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",149.440000,-37.025300,0.000000,top
"J6","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",139.580000,-37.000000,0.000000,top
"J7","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",129.600000,-37.000000,0.000000,top
"J8","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",169.320000,-37.000000,0.000000,top
"J9","Screw_Terminal_01x03","TerminalBlock_TE_282834-3_1x03_P2.54mm_Horizontal",159.320000,-37.000000,0.000000,top
"LED1","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",144.315300,-45.000000,0.000000,top
"LED2","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",189.200000,-46.500000,-90.000000,top
"LED3","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",159.400000,-46.500000,-90.000000,top
"LED4","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",129.400000,-46.425300,-90.000000,top
"LED5","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",191.200000,-75.400000,180.000000,top
"LED6","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",178.800000,-46.500000,-90.000000,top
"LED7","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",149.400000,-46.025300,-90.000000,top
"LED8","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",199.000000,-46.025300,-90.000000,top
"LED9","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",205.225300,-66.200000,180.000000,top
"LED10","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",169.400000,-46.500000,-90.000000,top
"LED11","LTST-C191KRKT","LED_LTST-C191KRKT_LTO",139.000000,-46.625300,-90.000000,top
"R1","68ohm","R_0603_1608Metric",142.415000,-47.000000,180.000000,top
"R2","150ohm","R_0603_1608Metric",194.971500,-74.471400,0.000000,top
"R3","350ohm","R_0805_2012Metric",209.200000,-66.200000,0.000000,top
"R4","68ohm","R_0603_1608Metric",189.200000,-42.825000,90.000000,top
"R5","68ohm","R_0603_1608Metric",178.800000,-42.675000,90.000000,top
"R6","68ohm","R_0603_1608Metric",169.400000,-42.825000,90.000000,top
"R7","68ohm","R_0603_1608Metric",159.400000,-42.825000,90.000000,top
"R8","150ohm","R_0603_1608Metric",149.461600,-42.472600,90.000000,top
"R9","150ohm","R_0603_1608Metric",138.944400,-43.147600,90.000000,top
"R10","150ohm","R_0603_1608Metric",129.400000,-42.825600,90.000000,top
"R11","68ohm","R_0603_1608Metric",199.034800,-42.707600,90.000000,top
"SW1","CSS-1210TB","CSS-1210TB_NDC",210.127100,-57.295100,90.000000,top
"U1","AS78L05RTR-E1","SOT89_B8D_DIO",199.971500,-69.971400,0.000000,top
"U2","SN74LVC1T45DBVR","DBV0006A_L",128.500000,-53.750000,0.000000,top
"U3","SN74LVC1T45DBVR","DBV0006A_L",128.500000,-61.500000,0.000000,top
"U4","SN74LVC1T45DBVR","DBV0006A_L",128.900000,-68.650000,0.000000,top
"U5","DEV-16771","MODULE_DEV-16771",171.000000,-58.000000,0.000000,top
