"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3, C5","3",".47 uF","Capacitor_SMD:C_0201_0603Metric",""
"2","C2, C4, C6","3",".1 uF","Capacitor_SMD:C_0201_0603Metric",""
"3","C7","1","10uF","Capacitor_SMD:C_0201_0603Metric",""
"4","C8","1","100nF","Capacitor_SMD:C_0201_0603Metric",""
"5","C9, C10","2","22uF","Capacitor_SMD:C_0201_0603Metric",""
"6","GND1","1","11.1V Power Supply","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical",""
"7","L1","1","4.7uH","Inductor_SMD:L_0201_0603Metric",""
"8","R1, R2, R3","3","30k","Resistor_SMD:R_0201_0603Metric",""
"9","SW1, SW2, SW3","3","SW_SPDT","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Vertical",""
"10","U1, U2, U3, U6, U7, U8, U15","7","~","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical",""
"11","U4, U10, U12","3","DRV8871DDA","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",""
"12","U5, U11, U13","3","~","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",""
"13","U9","1","~","Connector_JST:JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",""
"14","U14","1","DEV-16771","Teensy4.1:MODULE_DEV-16771",""
"15","U17","1","AP63205WU","Package_TO_SOT_SMD:TSOT-23-6",""
